"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","1","0","0","4","0","0","0","0","1352","7588.7","959.95","1644.3","31","0","0","0.00","-715.35","1301","4828.7","4828.7","779.95","51","2760","2760","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","4","6","4400","77","44700","30","97000","0","22030","768376.08","-36894.71","26320.27","165","223.53","-2880.75","0","-60497.76","19510","154016.8","153926.8","-20340.98","1146","287089","283323","-16735.5","28","8844","8855.1","6000","324","756.5","756.5","70.8","","","","","","","","","11","222.5","222.5","62.5","1","250","250","-225","806","343719.63","315904.18","-6355.92","6","8","8","5.73","198","5130","5130","623.66"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","3","7000","0","0","0","706","28537","2542.85","325","0","110.16","0","0.00","2107.69","706","28537","28537","2542.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","1","0","0","0","0","6","6","1.76","25.5","0","0","0","0.00","-23.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","1.76","","","","","","","",""
"IkrIOC52"," ","instagram","-","BDT","2021/08/04 12:36:00","0","0","0","0","0","0","0","0","0","0","0","210.6","0","0","0","0","-210.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","1","0","0","5","0","0","0","0","788","4007.6","1005.95","1133.34","0","0","0","0.00","-127.39","770","2735.6","2695.6","809.55","2","180","180","180","9","1302","842","-193.6","","","","","","","","","","","","","","","","","","","","","7","300","290","210","","","","","","","",""
"v603NqL5"," ","socialdomain","-","INR","2021/08/03 15:55:41","0","0","0","0","0","0","0","0","2","50","50","0","0","0","0","0","0","","","","","2","50","50","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v603NqL5"," ","socialdomain","-","PKR","2021/08/03 15:55:41","0","0","0","0","0","0","0","0","142","1420","494","0","0","0","0","0","0","142","1420","1420","494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"748lksgk"," ","fbhijack","-","BDT","2021/08/03 16:28:49","0","0","0","1","1000","0","0","0","176","6117.8","1026.65","26.7","0","0","0","0.00","999.95","176","6117.8","6117.8","1026.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","0","0","0","22","20800","0","11500","0","3955","215189.35","-8956.11","3470.26","374","55.52","0","0","-12655.89","3256","47566.35","47566.35","92.32","431","55819","55819","-11805","51","108549","107549","3145.87","157","2502.1","2502.1","236.8","","","","","","","","","","","","","2","750","750","-200","16","224","162.9","-64.3","","","","","42","840","840","-361.8"
"Grand Total","","","","","","6","6","4400.00","113","73500.00","30.00","108500.00","0.00","29157","1031292.53","-39769.66","33155.97","570.00","389.21","-2880.75","0.00","-71123.09"
